ID;Name;Render_Type;Can_Be_Shared;;;;
MM_ARROW_FIRE;Fire Arrows (MM);fire_arrow;true;;;;
MM_ARROW_ICE;Ice Arrows (MM);ice_arrow;true;;;;
MM_ARROW_LIGHT;Light Arrows (MM);light_arrow;true;;;;
MM_ARROWS_10;10 Arrows (MM);arrow;true;;;;
MM_ARROWS_30;30 Arrows (MM);arrow;true;;;;
MM_ARROWS_40;40 Arrows (MM);arrow;true;;;;
MM_BIG_POE;Big Poe (MM);bottled_big_poe;true;;;;
MM_BLUE_FIRE;Blue Fire;blue_fire;true;;;;
MM_BOMB;Bomb (MM);bomb;true;;;;
MM_BOMB_BAG;Bomb Bag (MM);bomb_bag;true;;;;
MM_BOMB_BAG2;Big Bomb Bag (MM);big_bomb;true;;;;
MM_BOMB_BAG3;Biggest Bomb Bag (MM);biggest_bomb;true;;;;
MM_BOMBCHU;1 Bombchu (MM);bombchu;true;;;;
MM_BOMBCHU_10;10 Bombchu (MM);bombchu;true;;;;
MM_BOMBCHU_20;20 Bombchu (MM);bombchu;true;;;;
MM_BOMBCHU_5;5 Bombchu (MM);bombchu;true;;;;
MM_BOMBCHU_BAG;Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBCHU_BAG_FIRST_1;Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBCHU_BAG_FIRST_10;Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBCHU_BAG_FIRST_20;Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBCHU_BAG_FIRST_5;Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBCHU_BAG2;Big Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBCHU_BAG3;Biggest Bombchu Bag (MM);bombchu_bag;true;;;;
MM_BOMBER_NOTEBOOK;Bombers' Notebook;bombers;false;;;;
MM_BOMBS_10;10 Bombs (MM);bomb;true;;;;
MM_BOMBS_20;20 Bombs (MM);bomb;true;;;;
MM_BOMBS_30;30 Bombs (MM);bomb;true;;;;
MM_BOMBS_5;5 Bombs (MM);bomb;true;;;;
MM_BOOTS_HOVER;Hover Boots (MM);hover;true;;;;
MM_BOOTS_IRON;Iron Boots (MM);iron;true;;;;
MM_BOSS_KEY;Boss Key (MM);boss_key;false;;;;
MM_BOSS_KEY_GB;Boss Key (Great Bay Temple);boss_key;false;;;;
MM_BOSS_KEY_SH;Boss Key (Snowhead Temple);boss_key;false;;;;
MM_BOSS_KEY_ST;Boss Key (Stone Tower Temple);boss_key;false;;;;
MM_BOSS_KEY_WF;Boss Key (Woodfall Temple);boss_key;false;;;;
MM_BOTTLE_BIG_POE;Bottled Big Poe (MM);bottled_big_poe;true;;;;
MM_BOTTLE_BLUE_FIRE;Bottle of Blue Fire;blue_fire;true;;;;
MM_BOTTLE_CHATEAU;Bottle of Chateau Romani;chateau;true;;;;
MM_BOTTLE_EMPTY;Empty Bottle (MM);bottle;true;;;;
MM_BOTTLE_FAIRY;Bottled Fairy (MM);bottled_fairy;true;;;;
MM_BOTTLE_MILK;Bottle of Milk (MM);milk;true;;;;
