id;scene;friendly_name;location;type;x;y;z;renderscene;rendertype;context;room;game;requierements;tooltip
0x03;BENEATH_THE_GRAVEYARD;Chest;MM Beneath The Graveyard Chest;chest;606;476;0;BENEATH_THE_GRAVEYARD;chest;All;0;mm;Soul of Bad Bats, Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);Defeat all <b>Bad Bats</b>
0x00;BENEATH_THE_GRAVEYARD;Heart Piece;MM Beneath The Graveyard HP;chest;113;332;0;BENEATH_THE_GRAVEYARD;chest;All;0;mm;Bomb (MM) / Bombchu (MM) / Blast Mask (MM), Soul of Iron Knuckles (MM), Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);Defeat the <b>Iron Knuckle</b>
0x0104;BENEATH_THE_GRAVEYARD;Bats 1;MM Beneath The Graveyard Pot Night 1 Bats 1;pot;548;454;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0105;BENEATH_THE_GRAVEYARD;Bats 2;MM Beneath The Graveyard Pot Night 1 Bats 2;pot;549;494;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0106;BENEATH_THE_GRAVEYARD;Bats 3;MM Beneath The Graveyard Pot Night 1 Bats 3;pot;647;491;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0004;BENEATH_THE_GRAVEYARD;Early 1;MM Beneath The Graveyard Pot Night 1 Early 1;pot;430;458;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0005;BENEATH_THE_GRAVEYARD;Early 2;MM Beneath The Graveyard Pot Night 1 Early 2;pot;435;487;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0307;BENEATH_THE_GRAVEYARD;After Pit 1;MM Beneath The Graveyard Pot Night 2 After Pit 1;pot;125;85;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x0308;BENEATH_THE_GRAVEYARD;After Pit 2;MM Beneath The Graveyard Pot Night 2 After Pit 2;pot;142;86;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x030b;BENEATH_THE_GRAVEYARD;After Pit 3;MM Beneath The Graveyard Pot Night 2 After Pit 3;pot;115;193;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x030c;BENEATH_THE_GRAVEYARD;After Pit 4;MM Beneath The Graveyard Pot Night 2 After Pit 4;pot;132;194;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x0309;BENEATH_THE_GRAVEYARD;Before Pit 1;MM Beneath The Graveyard Pot Night 2 Before Pit 1;pot;331;122;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x030a;BENEATH_THE_GRAVEYARD;Before Pit 2;MM Beneath The Graveyard Pot Night 2 Before Pit 2;pot;341;134;0;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x0006;BENEATH_THE_GRAVEYARD;Early 3;MM Beneath The Graveyard Pot Night 2 Early;pot;325;320;2;BENEATH_THE_GRAVEYARD;pot;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x00000;BENEATH_THE_GRAVEYARD;Rupee 1;MM Beneath The Graveyard Rupee 1;rupee;341;314;1;BENEATH_THE_GRAVEYARD;rupee;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x10000;BENEATH_THE_GRAVEYARD;Rupee 2;MM Beneath The Graveyard Rupee 2;rupee;355;305;1;BENEATH_THE_GRAVEYARD;rupee;All;0;mm;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
