id;scene;friendly_name;location;type;x;y;renderscene;rendertype;context;room;game
0x0002;BACK_ALLEY_HOUSE;Pot 1;OOT Market Back Alley East House Pot 1;pot;765;483;BACK_ALLEY_HOUSE;pot;All;0;oot
0x0003;BACK_ALLEY_HOUSE;Pot 2;OOT Market Back Alley East House Pot 2;pot;442;429;BACK_ALLEY_HOUSE;pot;All;0;oot
0x0004;BACK_ALLEY_HOUSE;Pot 3;OOT Market Back Alley East House Pot 3;pot;521;429;BACK_ALLEY_HOUSE;pot;All;0;oot
DOG_LADY;BACK_ALLEY_HOUSE2;Heart Piece;OOT Market Dog Lady HP;npc;436;214;BACK_ALLEY_HOUSE2;npc;All;0;oot
0x00002;BACK_ALLEY_HOUSE2;Crate;OOT Market Dog Lady Crate;crate;657;105;BACK_ALLEY_HOUSE2;crate;All;0;oot
0x30;BAZAAR;Item 1;OOT Kakariko Bazaar Item 1;shop;367;328;KAKARIKO_BAZAAR;shop;All;0;oot
0x31;BAZAAR;Item 2;OOT Kakariko Bazaar Item 2;shop;327;290;KAKARIKO_BAZAAR;shop;All;0;oot
0x32;BAZAAR;Item 3;OOT Kakariko Bazaar Item 3;shop;367;290;KAKARIKO_BAZAAR;shop;All;0;oot
0x33;BAZAAR;Item 4;OOT Kakariko Bazaar Item 4;shop;327;328;KAKARIKO_BAZAAR;shop;All;0;oot
0x34;BAZAAR;Item 5;OOT Kakariko Bazaar Item 5;shop;624;290;KAKARIKO_BAZAAR;shop;All;0;oot
0x35;BAZAAR;Item 6;OOT Kakariko Bazaar Item 6;shop;664;290;KAKARIKO_BAZAAR;shop;All;0;oot
0x36;BAZAAR;Item 7;OOT Kakariko Bazaar Item 7;shop;664;328;KAKARIKO_BAZAAR;shop;All;0;oot
0x37;BAZAAR;Item 8;OOT Kakariko Bazaar Item 8;shop;624;328;KAKARIKO_BAZAAR;shop;All;0;oot
0x20;BAZAAR;Item 1;OOT Market Bazaar Item 1;shop;367;328;MARKET_BAZAAR;shop;All;0;oot
0x21;BAZAAR;Item 2;OOT Market Bazaar Item 2;shop;327;290;MARKET_BAZAAR;shop;All;0;oot
0x22;BAZAAR;Item 3;OOT Market Bazaar Item 3;shop;367;290;MARKET_BAZAAR;shop;All;0;oot
0x23;BAZAAR;Item 4;OOT Market Bazaar Item 4;shop;327;328;MARKET_BAZAAR;shop;All;0;oot
0x24;BAZAAR;Item 5;OOT Market Bazaar Item 5;shop;624;290;MARKET_BAZAAR;shop;All;0;oot
0x25;BAZAAR;Item 6;OOT Market Bazaar Item 6;shop;664;290;MARKET_BAZAAR;shop;All;0;oot
0x26;BAZAAR;Item 7;OOT Market Bazaar Item 7;shop;664;328;MARKET_BAZAAR;shop;All;0;oot
0x27;BAZAAR;Item 8;OOT Market Bazaar Item 8;shop;624;328;MARKET_BAZAAR;shop;All;0;oot
BOMBCHU_BOWLING_1;BOMBCHU_BOWLING_ALLEY;Reward 1;OOT Bombchu Bowling Reward 1;npc;816;248;BOMBCHU_BOWLING_ALLEY;npc;All;0;oot
BOMBCHU_BOWLING_2;BOMBCHU_BOWLING_ALLEY;Reward 2;OOT Bombchu Bowling Reward 2;npc;743;248;BOMBCHU_BOWLING_ALLEY;npc;All;0;oot
0x08;BOMBCHU_SHOP;Item 1;OOT Market Bombchu Shop Item 1;shop;412;226;BOMBCHU_SHOP;shop;All;0;oot
0x09;BOMBCHU_SHOP;Item 2;OOT Market Bombchu Shop Item 2;shop;342;226;BOMBCHU_SHOP;shop;All;0;oot
0x0a;BOMBCHU_SHOP;Item 3;OOT Market Bombchu Shop Item 3;shop;412;276;BOMBCHU_SHOP;shop;All;0;oot
0x0b;BOMBCHU_SHOP;Item 4;OOT Market Bombchu Shop Item 4;shop;342;276;BOMBCHU_SHOP;shop;All;0;oot
0x0c;BOMBCHU_SHOP;Item 5;OOT Market Bombchu Shop Item 5;shop;644;226;BOMBCHU_SHOP;shop;All;0;oot
0x0d;BOMBCHU_SHOP;Item 6;OOT Market Bombchu Shop Item 6;shop;574;276;BOMBCHU_SHOP;shop;All;0;oot
0x0e;BOMBCHU_SHOP;Item 7;OOT Market Bombchu Shop Item 7;shop;644;276;BOMBCHU_SHOP;shop;All;0;oot
0x0f;BOMBCHU_SHOP;Item 8;OOT Market Bombchu Shop Item 8;shop;574;226;BOMBCHU_SHOP;shop;All;0;oot
0x01;BOTTOM_OF_THE_WELL;Compass;OOT Bottom of the Well Compass;chest;744;471;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x02;BOTTOM_OF_THE_WELL;Under Debris;OOT Bottom of the Well Under Debris;chest;805;517;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x04;BOTTOM_OF_THE_WELL;Back West;OOT Bottom of the Well Back West;chest;511;144;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x05;BOTTOM_OF_THE_WELL;East;OOT Bottom of the Well East;chest;984;546;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x08;BOTTOM_OF_THE_WELL;Front West;OOT Bottom of the Well Front West;chest;706;542;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x09;BOTTOM_OF_THE_WELL;Underwater;OOT Bottom of the Well Underwater;chest;443;381;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x0c;BOTTOM_OF_THE_WELL;East Cage;OOT Bottom of the Well East Cage;chest;1168;373;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x0e;BOTTOM_OF_THE_WELL;Blood;OOT Bottom of the Well Blood Chest;chest;943;474;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x10;BOTTOM_OF_THE_WELL;Underwater 2;OOT Bottom of the Well Underwater 2;chest;837;666;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x07;BOTTOM_OF_THE_WELL;Map;OOT Bottom of the Well Map;chest;880;674;BOTTOM_OF_THE_WELL;chest;All;1;oot
0x01;BOTTOM_OF_THE_WELL;Coffin - Small Key;OOT Bottom of the Well Coffin;collectible;122;405;BOTTOM_OF_THE_WELL;collectible;All;0;oot
0x0a;BOTTOM_OF_THE_WELL;Pits;OOT Bottom of the Well Pits;chest;1189;324;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x03;BOTTOM_OF_THE_WELL;Lens of Truth;OOT Bottom of the Well Lens;chest;1239;668;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x14;BOTTOM_OF_THE_WELL;Lens of Truth - Side;OOT Bottom of the Well Lens Side Chest;chest;1330;668;BOTTOM_OF_THE_WELL;chest;All;0;oot
0x48;BOTTOM_OF_THE_WELL;East Cage;OOT Bottom of the Well GS East Cage;gs;1201;368;BOTTOM_OF_THE_WELL;gs;All;0;oot
0x4a;BOTTOM_OF_THE_WELL;Inner West;OOT Bottom of the Well GS Inner West;gs;743;199;BOTTOM_OF_THE_WELL;gs;All;0;oot
