Game;SceneID;FromEntranceID;From;ToEntranceID;To;ElapsedSec
1;0x12;0x0;Mayor's Office - East Clock Town;0xd270;Mayor's Office -> East Clock Town;2.86258
1;0xd;0x0e20;Curiosity Shop - Telescope;0x0e20;Telescope -> Curiosity Shop;-1
1;0xd;0x0e20;Curiosity Shop - Telescope;0x0e30;Telescope -> Curiosity Shop;3.87
1;0xd;0x0e20;Curiosity Shop - Telescope;0xd440;Curiosity Shop -> West Clock Town;-1
1;0xd;0x0e20;Curiosity Shop - Telescope;0xda10;Kafei Hideout -> Laundry Pool;-1
1;0xd;0x0e30;Kafei Hideout - Telescope;0x0e20;Telescope -> Curiosity Shop;2.99
1;0xd;0x0e30;Kafei Hideout - Telescope;0xd440;Curiosity Shop -> West Clock Town;-1
1;0xd;0x0e30;Kafei Hideout - Telescope;0xda10;Kafei Hideout -> Laundry Pool;6.53
1;0x85;0x10000;Pillar Grotto - Termina Field;0x10100;Pillar Grotto -> Termina Field;2.60097
1;0x83;0x10001;Tall Grass Grotto - Termina Field;0x10101;Tall Grass Grotto -> Termina Field;2.61364
1;0x90;0x10002;Open Grotto - Road to Southern Swamp;0x10102;Open Grotto -> Road to Southern Swamp;2.55319
1;0x92;0x10003;Open Grotto - Woods of Mystery;0x10103;Open Grotto -> Woods of Mystery;2.60436
1;0x91;0x10004;Open Grotto - Southern Swamp;0x10104;Open Grotto -> Southern Swamp;2.60185
1;0x8f;0x10005;Tunnel Open Grotto - Mountain Village Spring;0x10105;Tunnel Open Grotto -> Mountain Village Spring;2.44727
1;0x8d;0x10006;Ramp Grotto - Twin Islands;0x10106;Ramp Grotto -> Twin Islands;2.60269
1;0x8e;0x10007;Tree Grotto - Path To Snowhead;0x10107;Tree Grotto -> Path To Snowhead;4.08177
1;0x86;0x10008;Open Grotto - Great Bay Coast;0x10108;Open Grotto -> Great Bay Coast;2.57573
1;0x88;0x10009;Boulder Grotto - Zora Cape;0x10109;Boulder Grotto -> Zora Cape;2.61616
1;0x8b;0x1000a;Red Boulder Grotto - Road to Ikana;0x1010a;Red Boulder Grotto -> Road to Ikana;2.65237
1;0x89;0x1000b;Bomb Grotto - Ikana Graveyard;0x1010b;Bomb Grotto -> Ikana Graveyard;2.6014
