Game;SceneID;FromEntranceID;From;ToEntranceID;To;ElapsedSec
0;0x0;0x0;Deku Tree - Kokiri Forest;0x209;Deku Tree -> Kokiri Forest;2.90661
0;0x0;0x0;Deku Tree - Kokiri Forest;0x40f;Deku Tree -> Gohma's Lair - Deku Tree;23.1379
0;0x5;0x10;Water Temple - Lake Hylia;0x21d;Water Temple -> Lake Hylia;4.38974
0;0x5;0x10;Water Temple - Lake Hylia;0x417;Water Temple -> Morpha's Lair - Water Temple;39.3465
0;0x65;0x1000;Storms Grotto - Kokiri Forest;0x1100;Storms Grotto -> Kokiri Forest;2.67764
0;0x67;0x1001;Boulder Grotto Near Goron City - Lost Woods;0x1101;Boulder Grotto Near Goron City -> Lost Woods;2.47333
0;0x6c;0x1002;Open Grotto - Kakariko;0x1102;Open Grotto -> Kakariko;2.28661
0;0x6d;0x1003;Storms Grotto - Death Mountain Trail;0x1103;Storms Grotto -> Death Mountain Trail;2.3504
0;0x70;0x1004;Boulder Grotto - Death Mountain Crater;0x1104;Boulder Grotto -> Death Mountain Crater;2.27681
0;0x73;0x1005;Open Grotto - Zora River;0x1105;Open Grotto -> Zora River;2.28993
0;0x77;0x1006;Southeast Grotto - Hyrule Field;0x1106;Southeast Grotto -> Hyrule Field;2.68602
0;0x78;0x1007;Open Grotto - Hyrule Field;0x1107;Open Grotto -> Hyrule Field;2.50731
0;0x79;0x1008;Near Market Grotto - Hyrule Field;0x1108;Near Market Grotto -> Hyrule Field;2.30676
0;0x81;0x1009;Fairy Fountain Grotto - Sacred Forest Meadow;0x1109;Fairy Fountain Grotto -> Sacred Forest Meadow;2.72789
0;0x84;0x100a;Fairy Fountain Grotto - Hyrule Field;0x110a;Fairy Fountain Grotto -> Hyrule Field;3.06102
0;0x82;0x100b;Fairy Fountain Grotto - Zora River;0x110b;Fairy Fountain Grotto -> Zora River;2.20613
0;0x83;0x100c;Fairy Fountain Grotto - Zora Domain;0x110c;Fairy Fountain Grotto -> Zora Domain;2.88439
0;0x85;0x100d;Fairy Fountain Grotto - Gerudo's Fortress;0x110d;Fairy Fountain Grotto -> Gerudo's Fortress;2.49361
0;0x6a;0x100e;Storms Grotto - Sacred Forest Meadow;0x110e;Storms Grotto -> Sacred Forest Meadow;2.33328
0;0x72;0x100f;Storms Grotto - Zora River;0x110f;Storms Grotto -> Zora River;2.31843
0;0x7e;0x1010;Storms Grotto - Gerudo Valley;0x1110;Storms Grotto -> Gerudo Valley;2.30686
0;0x80;0x1011;Silver Boulder Grotto - Desert Colossus;0x1111;Silver Boulder Grotto -> Desert Colossus;2.30557
0;0x75;0x1012;Open Grotto - Lon Lon's Ranch;0x1112;Open Grotto -> Lon Lon's Ranch;2.45966
0;0x6f;0x1013;Open Grotto - Goron City;0x1113;Open Grotto -> Goron City;2.33669
0;0x71;0x1014;Red Boulder Grotto - Death Mountain Crater;0x1114;Red Boulder Grotto -> Death Mountain Crater;2.39941
0;0x74;0x1015;Under Tomb Grotto - Lake Hylia;0x1115;Under Tomb Grotto -> Lake Hylia;2.93356
0;0x57;0x102;Lake Hylia - Hyrule Field;0x10;Lake Hylia -> Water Temple;27.6556
0;0x57;0x102;Lake Hylia - Hyrule Field;0x1015;Lake Hylia -> Under Tomb Grotto;33.5022
0;0x57;0x102;Lake Hylia - Hyrule Field;0x189;Lake Hylia -> Hyrule Field;4.46998
0;0x57;0x102;Lake Hylia - Hyrule Field;0x27e;Owl Drop -> Hyrule Field - Owl Drop;26.5035
0;0x57;0x102;Lake Hylia - Hyrule Field;0x328;Lake Hylia's Shortcut -> Zora Domain;20.2463
0;0x57;0x102;Lake Hylia - Hyrule Field;0x43;Lake Hylia -> Laboratory;14.1423
0;0x57;0x102;Lake Hylia - Hyrule Field;0x45f;Lake Hylia -> Fishing Pond;27.2555
0;0x58;0x108;Zora Domain - Zora River;0x100c;Zora Domain -> Fairy Fountain Grotto;13.5795
0;0x58;0x108;Zora Domain - Zora River;0x19d;Zora Domain -> Zora River;2.7042
0;0x58;0x108;Zora Domain - Zora River;0x225;Zora Domain -> Zora Fountain;21.3379
0;0x58;0x108;Zora Domain - Zora River;0x380;Zora Domain -> Zora Shop;8.15331
0;0x58;0x108;Zora Domain - Zora River;0x560;Zora's Domain Shortcut -> Lake Hylia;7.67715
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x0;Kokiri Forest -> Deku Tree;26.2016
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x1000;Kokiri Forest -> Storms Grotto;11.5434
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x11e;Kokiri Forest -> Lost Woods;4.12537
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x272;Kokiri Forest -> Link's House;17.1705
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x433;Kokiri Forest -> Mido's House;8.35696
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x437;Kokiri Forest -> Saria's House;13.6942
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x5e0;Kokiri Forest Bridge -> Lost Woods;9.98723
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0x9c;Kokiri Forest -> Twin's House;13.6391
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0xc1;Kokiri Forest -> Kokiri Shop;10.9612
0;0x55;0x1100;Kokiri Forest - Storms Grotto;0xc9;Kokiri Forest -> Know-It-All Brothers;13.3695
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x1001;Lost Woods -> Boulder Grotto Near Goron City;3.08213
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x185;Lost Woods Bridge -> Hyrule Field;20.2191
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x1dd;Lost Woods -> Zora River;11.5297
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x20d;Lost Woods Bridge -> Kokiri Forest ;20.4384
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x286;Lost Woods -> Kokiri Forest;4.33658
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x4e2;Lost Woods -> Goron City;4.40397
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x5b0;Lost Woods -> Scrub Upgrade Grotto;14.231
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0x5c4;Lost Woods -> Deku's Theater;14.031
0;0x5b;0x1101;Lost Woods - Boulder Grotto Near Goron City;0xfc;Lost Woods -> Sacred Forest Meadow;14.7082
0;0x52;0x1102;Kakariko - Open Grotto;0x1002;Kakariko -> Open Grotto;3.20967
0;0x52;0x1102;Kakariko - Open Grotto;0x13d;Kakariko -> Death Mountain Trail;18.9087
0;0x52;0x1102;Kakariko - Open Grotto;0x17d;Kakariko -> Hyrule Field;17.669
0;0x52;0x1102;Kakariko - Open Grotto;0x2fd;Kakariko -> Carpenter's Boss House;9.3595
0;0x52;0x1102;Kakariko - Open Grotto;0x384;Kakariko -> Potion Shop;12.9071
0;0x52;0x1102;Kakariko - Open Grotto;0x39c;Kakariko -> Impa's House;16.5085
0;0x52;0x1102;Kakariko - Open Grotto;0x3b;Kakariko -> Shooting;10.8916
0;0x52;0x1102;Kakariko - Open Grotto;0x3ec;Kakariko Shop Back -> Potion Shop Back;11.8457
0;0x52;0x1102;Kakariko - Open Grotto;0x453;Kakariko -> Windmill;11.8833
0;0x52;0x1102;Kakariko - Open Grotto;0x550;Kakariko -> House of Skulltula;11.1244
0;0x52;0x1102;Kakariko - Open Grotto;0x5a0;Kakariko -> Redead Grotto;12.2863
0;0x52;0x1102;Kakariko - Open Grotto;0x5c8;Kakariko -> Impa's House Back;15.4665
