Code_Name;Game;ID;Type;Scene;;;;;;;;;;;
OOT_SPAWN_CHILD; oot; 0x0bb; spawn-child;LINK_HOUSE; areas;OOT SPAWN CHILD; OOT Link's House; debug;COMMON; Link's House;;;;;
OOT_SPAWN_ADULT; oot; 0xf20; spawn-adult;TEMPLE_OF_TIME; areas;OOT SPAWN ADULT; OOT Temple of Time;;;;;;;;
OOT_BOSS_DEKU_TREE; oot; 0x40f; boss;OOT_DEKU_TREE; areas;OOT Deku Tree Before Boss; OOT Deku Tree Boss; debug;BOSS; Gohma;;;;;
OOT_BOSS_DODONGO_CAVERN; oot; 0x40b; boss;OOT_DODONGO_CAVERN; areas;OOT Dodongo Cavern Pre-Boss Lobby; OOT Dodongo Cavern Boss; debug;BOSS; King Dodongo;;;;;
OOT_BOSS_JABU_JABU; oot; 0x301; boss;OOT_JABU_JABU; areas;OOT Jabu-Jabu Pre-Boss Room; OOT Jabu-Jabu Boss; debug;BOSS; Barinade;;;;;
OOT_BOSS_TEMPLE_FOREST; oot; 0x00c; boss;OOT_TEMPLE_FOREST; areas;OOT Forest Temple Antichamber Room Hallway Before Boss; OOT Forest Temple Boss; debug;BOSS; Phantom Ganon;;;;;
OOT_BOSS_TEMPLE_FIRE; oot; 0x305; boss;OOT_TEMPLE_FIRE; areas;OOT Fire Temple Pre-Boss; OOT Fire Temple Boss; debug;BOSS; Volvagia;;;;;
OOT_BOSS_TEMPLE_WATER; oot; 0x417; boss;OOT_TEMPLE_WATER; areas;OOT Water Temple Antichamber Room; OOT Water Temple Boss; debug;BOSS; Morpha;;;;;
OOT_BOSS_TEMPLE_SHADOW; oot; 0x413; boss;OOT_TEMPLE_SHADOW; areas;OOT Shadow Temple Pre-Boss; OOT Shadow Temple Boss; debug;BOSS; Bongo-Bongo;;;;;
OOT_BOSS_TEMPLE_SPIRIT; oot; 0x08d; boss;OOT_TEMPLE_SPIRIT; areas;OOT Spirit Temple Statue; OOT Spirit Temple Boss; debug;BOSS; Twinrova;;;;;
OOT_DEKU_TREE; oot; 0x000; dungeon;OOT_KOKIRI_FOREST; areas;OOT Kokiri Forest Near Deku Tree; OOT Deku Tree; reverse; OOT_KOKIRI_FOREST_FROM_DEKU_TREE; debug;DUNGEON; Deku Tree;;;
OOT_DODONGO_CAVERN; oot; 0x004; dungeon;OOT_DEATH_MOUNTAIN_TRAIL; areas;OOT Death Mountain; OOT Dodongo Cavern; reverse; OOT_MOUNTAIN_TRAIL_FROM_DODONGO_CAVERN; debug;DUNGEON; Dodongo Cavern;;;
OOT_JABU_JABU; oot; 0x028; dungeon;OOT_ZORA_FOUNTAIN; areas;OOT Zora Fountain; OOT Jabu-Jabu; reverse; OOT_ZORA_FOUNTAIN_FROM_JABU_JABU; debug;DUNGEON; Jabu-Jabu;;;
OOT_TEMPLE_FOREST; oot; 0x169; dungeon;OOT_SACRED_MEADOW; areas;OOT Sacred Meadow Forest Platform; OOT Forest Temple; reverse; OOT_SACRED_MEADOW_FROM_TEMPLE_FOREST; debug;DUNGEON; Forest;;;
OOT_TEMPLE_FIRE; oot; 0x165; dungeon;OOT_DEATH_MOUNTAIN_CRATER; areas;OOT Death Mountain Crater Near Temple; OOT Fire Temple; reverse; OOT_DEATH_CRATER_FROM_TEMPLE_FIRE; debug;DUNGEON; Fire;;;
OOT_TEMPLE_WATER; oot; 0x010; dungeon;OOT_LAKE_HYLIA; areas;OOT Lake Hylia; OOT Water Temple; reverse; OOT_LAKE_HYLIA_FROM_TEMPLE_WATER; debug;DUNGEON; Water;;;
OOT_TEMPLE_SHADOW; oot; 0x037; dungeon;OOT_GRAVEYARD; areas;OOT Graveyard Upper; OOT Shadow Temple; reverse; OOT_GRAVEYARD_FROM_TEMPLE_SHADOW; debug;DUNGEON; Shadow;;;
OOT_TEMPLE_SPIRIT; oot; 0x082; dungeon;OOT_COLOSSUS; areas;OOT Desert Colossus; OOT Spirit Temple; reverse; OOT_DESERT_COLOSSUS_FROM_TEMPLE_SPIRIT; debug;DUNGEON; Spirit;;;
OOT_BOTTOM_OF_THE_WELL; oot; 0x098; dungeon-minor;OOT_KAKARIKO; areas;OOT Kakariko Well; OOT Bottom of the Well; reverse; OOT_KAKARIKO_FROM_BOTTOM_OF_THE_WELL; debug;DUNGEON; BotW;;;
OOT_ICE_CAVERN; oot; 0x088; dungeon-minor;OOT_ZORA_FOUNTAIN; areas;OOT Zora Fountain Frozen; OOT Ice Cavern; reverse; OOT_ZORA_FOUNTAIN_FROM_ICE_CAVERN; debug;DUNGEON; Ice;;;
OOT_GERUDO_TRAINING_GROUNDS; oot; 0x008; dungeon-minor;OOT_GERUDO_FORTRESS; areas;OOT Gerudo Fortress Exterior; OOT Gerudo Training Grounds; reverse; OOT_GERUDO_FORTRESS_FROM_GERUDO_TRAINING; debug;DUNGEON; GtG;;;
OOT_GANON_CASTLE; oot; 0x467; dungeon-ganon;OOT_HYRULE_CASTLE; areas;OOT Ganon Castle Exterior After Bridge; OOT Ganon Castle; reverse; OOT_GANON_CASTLE_EXTERIOR_FROM_CASTLE; debug;DUNGEON; Ganon Castle;;;
OOT_GANON_TOWER; oot; 0x41b; dungeon-ganon-tower;OOT_GANON_CASTLE; areas;OOT Ganon Castle Stairs; OOT Ganon Castle Tower; reverse; OOT_GANON_CASTLE_FROM_TOWER; debug;DUNGEON; Ganon Tower;;;
OOT_KOKIRI_FOREST_FROM_DEKU_TREE; oot; 0x209; dungeon-exit;OOT_DEKU_TREE; areas;OOT Deku Tree; OOT Kokiri Forest Near Deku Tree; reverse; OOT_DEKU_TREE;;;;;;
OOT_MOUNTAIN_TRAIL_FROM_DODONGO_CAVERN; oot; 0x242; dungeon-exit;OOT_DODONGO_CAVERN; areas;OOT Dodongo Cavern; OOT Death Mountain; reverse; OOT_DODONGO_CAVERN;;;;;;
OOT_ZORA_FOUNTAIN_FROM_JABU_JABU; oot; 0x221; dungeon-exit;OOT_JABU_JABU; areas;OOT Jabu-Jabu; OOT Zora Fountain; reverse; OOT_JABU_JABU;;;;;;
OOT_SACRED_MEADOW_FROM_TEMPLE_FOREST; oot; 0x215; dungeon-exit;OOT_TEMPLE_FOREST; areas;OOT Forest Temple; OOT Sacred Meadow Forest Platform; reverse; OOT_TEMPLE_FOREST;;;;;;
OOT_DEATH_CRATER_FROM_TEMPLE_FIRE; oot; 0x24a; dungeon-exit;OOT_TEMPLE_FIRE; areas;OOT Fire Temple; OOT Death Mountain Crater Near Temple; reverse; OOT_TEMPLE_FIRE;;;;;;
OOT_LAKE_HYLIA_FROM_TEMPLE_WATER; oot; 0x21d; dungeon-exit;OOT_TEMPLE_WATER; areas;OOT Water Temple; OOT Lake Hylia Near Water Temple; reverse; OOT_TEMPLE_WATER;;;;;;
