Region_Name;Code_Name;From_ID;To_ID;From_Scene;To_Scene;From_Name;To_Name;Type;Anchor_X;Anchor_Y;Anchor_Z;Text_X;Text_Y;Text_Z;Entrance_Icon;Active_Layout
Graveyard;MM_GRAVE_NIGHT1_ENTR;MM_GRAVE_EXIT_NIGHT1;0x0a10;MM_IKANA_GRAVEYARD;MM_BENEATH_THE_GRAVEYARD;Ikana Graveyard;Ikana Grave 1;Normal;399;607;0;399;705;0;Generic_Entry;all
Graveyard;MM_GRAVE_NIGHT2_ENTR;MM_GRAVE_EXIT_NIGHT2;0x0a00;MM_IKANA_GRAVEYARD;MM_BENEATH_THE_GRAVEYARD;Ikana Graveyard;Ikana Grave 2;Normal;417;536;0;417;225;0;Generic_Entry;all
Ikana_Canyon;MM_BENEATH_THE_WELL_ENTR;MM_IKANA_CANYON_FROM_WELL_ENTR;0x9000;MM_IKANA_CANYON;MM_BENEATH_THE_WELL;Ikana Canyon;Beneath the Well;Normal;407;746;0;407;874;0;Generic_Entry;all
Ikana_Canyon;MM_BENEATH_THE_WELL_BACK_ENTR;MM_IKANA_CASTLE_EXTERIOR_FROM_WELL_ENTR;0x9010;MM_CASTLE_IKANA;MM_BENEATH_THE_WELL;Ikana Castle Exterior;Beneath the Well Back;Normal;620;310;0;756;310;0;Generic_Entry;all
Ikana_Canyon;MM_WALLMASTER_BTW_ENTRANCE_ENTR;MM_WALLMASTER_BTW_ENTRANCE_ENTR;0xff01;MM_BENEATH_THE_WELL;MM_BENEATH_THE_WELL;Wallmaster - Right Corridor;Beneath the Well;One_Way_Out;527;664;0;527;746;0;Wallmaster;all
Ikana_Canyon;MM_WALLMASTER_BTW_FOUNTAIN_ENTR;MM_WALLMASTER_BTW_FOUNTAIN_ENTR;0xff02;MM_BENEATH_THE_WELL;MM_BENEATH_THE_WELL;Wallmaster - Fairy Fountain;Beneath the Well;One_Way_Out;407;438;0;407;105;0;Wallmaster;all
Ikana_Canyon;MM_WALLMASTER_BTW_EXIT_ENTR;MM_WALLMASTER_BTW_EXIT_ENTR;0xff03;MM_BENEATH_THE_WELL;MM_BENEATH_THE_WELL;Wallmaster - Castle Corridor;Beneath the Well;One_Way_Out;527;485;0;756;485;0;Wallmaster;all
Mountain_Village;MM_BLACKSMITH_ENTR;MM_MOUNTAIN_VILLAGE_FROM_BLACKSMITH_ENTR;0x5200;MM_MOUNTAIN_VILLAGE;MM_BLACKSMITH;Mountain Village;Blacksmith;Normal;614;508;0;686;508;0;Door;all
Clock_Town;MM_BOMB_SHOP_ENTR;MM_CLOCK_TOWN_WEST_FROM_BOMB_SHOP_ENTR;0xca00;MM_CLOCK_TOWN_WEST;MM_BOMB_SHOP;West Clock Town;Bomb Shop;Normal;367;442;0;367;666;0;Door;all
Ikana_Canyon;MM_IKANA_CASTLE_EXTERIOR_FROM_WELL_ENTR;MM_BENEATH_THE_WELL_BACK_ENTR;0x3400;MM_BENEATH_THE_WELL;MM_CASTLE_IKANA;Beneath the Well Back;Ikana Castle Exterior;Normal;622;354;0;720;354;0;Generic_Entry;all
