Region_Name;Code_Name;From_ID;To_ID;From_Scene;To_Scene;From_Name;To_Name;Type;In_X;In_Y;In_Z;Out_X;Out_Y;Out_Z;Arrow_Rot;Active_Layout
Market;OOT_BACK_ALLEY_TREASURE_FROM_MARKET_ENTR;OOT_MARKET_FROM_BACK_ALLEY_TREASURE_ENTR;0x029a;OOT_MARKET;OOT_BACK_ALLEY;Market Treasure Game Side;Back Alley Treasure Game Side;Normal;0;0;0;0;0;0;0;all
Market;OOT_BACK_ALLEY_FROM_HOUSE_ENTR;OOT_DOG_LADY_FROM_BACK_ALLEY_ENTR;0x038c;OOT_BACK_ALLEY_HOUSE2;OOT_BACK_ALLEY;Dog Lady's House;Back Alley;Normal;0;0;0;0;0;0;0;all
Market;OOT_MARKET_FROM_ALLEY_HOUSE_ENTR;OOT_ALLEY_HOUSE_ENTR;0x067;OOT_BACK_ALLEY_HOUSE;OOT_BACK_ALLEY;Alley House;Back Alley;Normal;0;0;0;0;0;0;0;all
Market;OOT_BACK_ALLEY_SHOOTING_FROM_MARKET_ENTR;OOT_MARKET_FROM_BACK_ALLEY_SHOOTING_ENTR;0x0ad;OOT_MARKET;OOT_BACK_ALLEY;Market Shooting Side;Back Alley Shooting Side;Normal;0;0;0;0;0;0;0;all
Market;OOT_MARKET_FROM_BOMBCHU_SHOP_ENTR;OOT_BOMBCHU_SHOP_ENTR;0x3c0;OOT_BOMBCHU_SHOP;OOT_BACK_ALLEY;Bombchu Shop;Back Alley;Normal;0;0;0;0;0;0;0;all
Market;OOT_ALLEY_HOUSE_ENTR;OOT_MARKET_FROM_ALLEY_HOUSE_ENTR;0x43b;OOT_BACK_ALLEY;OOT_BACK_ALLEY_HOUSE;Back Alley;Alley House;Normal;0;0;0;0;0;0;0;all
Market;OOT_DOG_LADY_FROM_BACK_ALLEY_ENTR;OOT_BACK_ALLEY_FROM_HOUSE_ENTR;0x0398;OOT_BACK_ALLEY;OOT_BACK_ALLEY_HOUSE2;Back Alley;Dog Lady's House;Normal;0;0;0;0;0;0;0;all
Kakariko;OOT_KAKARIKO_BAZAAR_ENTR;OOT_KAKARIKO_FROM_BAZAAR_ENTR;0x0b7;OOT_KAKARIKO_VILLAGE;OOT_KAKARIKO_BAZAAR;Kakariko;Bazaar;Normal;0;0;0;0;0;0;0;all
Market;OOT_MARKET_BAZAAR_ENTR;OOT_MARKET_FROM_BAZAAR_ENTR;0x52c;OOT_MARKET;OOT_MARKET_BAZAAR;Market;Bazaar;Normal;0;0;0;0;0;0;0;all
Market;OOT_BOMBCHU_BOWLING_ENTR;OOT_MARKET_FROM_BOWLING_ENTR;0x507;OOT_MARKET;OOT_BOMBCHU_BOWLING_ALLEY;Market;Bombchu Bowling;Normal;0;0;0;0;0;0;0;all
Market;OOT_BOMBCHU_SHOP_ENTR;OOT_MARKET_FROM_BOMBCHU_SHOP_ENTR;0x528;OOT_BACK_ALLEY;OOT_BOMBCHU_SHOP;Back Alley;Bombchu Shop;Normal;0;0;0;0;0;0;0;all
Kakariko;OOT_BOTTOM_OF_THE_WELL_ENTR;OOT_KAKARIKO_FROM_BOTTOM_OF_THE_WELL_ENTR;0x098;OOT_KAKARIKO_VILLAGE;OOT_BOTTOM_OF_THE_WELL;Kakariko;Bottom of the Well;Normal;0;0;0;0;0;0;0;all
Kakariko;OOT_WALLMASTER_BOTW_MAIN_ENTR;OOT_WALLMASTER_BOTW_MAIN_ENTR;0xf17;OOT_BOTTOM_OF_THE_WELL;OOT_BOTTOM_OF_THE_WELL;Wallmaster - Main;Bottom of the Well;One_Way_Out;-1;-1;-1;0;0;0;0;all
Kakariko;OOT_WALLMASTER_BOTW_BASEMENT_ENTR;OOT_WALLMASTER_BOTW_BASEMENT_ENTR;0xf18;OOT_BOTTOM_OF_THE_WELL;OOT_BOTTOM_OF_THE_WELL;Wallmaster - Basement;Bottom of the Well;One_Way_Out;-1;-1;-1;0;0;0;0;all
Kakariko;OOT_WALLMASTER_BOTW_PIT_ENTR;OOT_WALLMASTER_BOTW_PIT_ENTR;0xf19;OOT_BOTTOM_OF_THE_WELL;OOT_BOTTOM_OF_THE_WELL;Wallmaster - Pit;Bottom of the Well;One_Way_Out;-1;-1;-1;0;0;0;0;all
Kakariko;OOT_HOUSE_CARPENTER_ENTR;OOT_KAKARIKO_FROM_CARPENTER_ENTR;0x2fd;OOT_KAKARIKO_VILLAGE;OOT_CARPENTER_BOSS_HOUSE;Kakariko;Carpenter's Boss House;Normal;0;0;0;0;0;0;0;all
Kakariko;OOT_VALLEY_TENT_ENTR;OOT_GERUDO_VALLEY_FROM_TENT_ENTR;0x3a0;OOT_GERUDO_VALLEY;OOT_CARPENTER_TENT;Gerudo Valley;Carpenter's Tent;Normal;0;0;0;0;0;0;0;all
Castle;OOT_CASTLE_STEALTH_ENTR;OOT_CASTLE_STEALTH_FROM_COURTYARD_ENTR;0x07a;OOT_HYRULE_CASTLE;OOT_CASTLE_COURTYARD;Hyrule Castle;Castle Courtyard;None;-1;-1;-1;-1;-1;-1;0;all
Castle;OOT_CASTLE_COURTYARD_ENTR;OOT_CASTLE_STEALTH_FROM_COURTYARD_ENTR;0x400;OOT_HYRULE_CASTLE;OOT_CASTLE_COURTYARD;Hyrule Castle;Castle Courtyard;Normal;0;0;0;0;0;0;0;all
Castle;OOT_END_ENTR;OOT_END_FROM_SAGES_CHANBER_ENTR;0xa000;OOT_CUTSCENE_MAP;OOT_CHAMBER_OF_THE_SAGES;End Credits;Sages Chamber -> End Credits;None;-1;-1;-1;-1;-1;-1;0;all
Castle;OOT_SAGES_CHANBER_END_FROM_GANON2_ENTR;OOT_SAGES_CHAMBER_END_ENTR;0x06b;OOT_GANON_BATTLE_ARENA;OOT_CHAMBER_OF_THE_SAGES;Ganon Beaten;Sages Chamber - Ganon Beaten;One_Way_In;0;0;0;-1;-1;-1;0;all
Castle;OOT_HYRULE_END_ENTR;OOT_HYRULE_END_FROM_END_ENTR;0xcd00;OOT_HYRULE_FIELD;OOT_CUTSCENE_MAP;Hyrule Field;End Credits -> Hyrule Field;None;-1;-1;-1;-1;-1;-1;0;all
Castle;OOT_END_FROM_SAGES_CHANBER_ENTR;OOT_END_ENTR;0xa0;OOT_CHAMBER_OF_THE_SAGES;OOT_CUTSCENE_MAP;End Credits;Sages Chamber - End Credits;None;-1;-1;-1;-1;-1;-1;0;all
Graveyard;OOT_HOUSE_DAMPE_ENTR;OOT_GRAVEYARD_FROM_DAMPE_ENTR;0x30d;OOT_GRAVEYARD;OOT_DAMPE_HOUSE;Graveyard;Dampe's House;Normal;0;0;0;0;0;0;0;all
