scene_id;scene_name;image_path;minimap_path;parent_region;has_context;active_layout
MM_SOUTHERN_SWAMP_CLEAR;Southern Swamp - Clear; ; ;None;false;mm
MM_FAIRY_SNOWHEAD;Fairy Fountain;./Resources/MM/Snowhead/Fairy.png;./Resources/MM/Snowhead/Fairy_Map.jpg;Snowhead;false;mm
MM_FAIRY_GREAT_BAY_COAST;Fairy Fountain;./Resources/MM/Zora_Cape/Fairy.png;./Resources/MM/Snowhead/Fairy_Map.jpg;Zora_Cape;false;mm
MM_FAIRY_WOODFALL;Fairy Fountain;./Resources/MM/Woodfall/Fairy.png;./Resources/MM/Snowhead/Fairy_Map.jpg;Woodfall;false;mm
MM_FAIRY_CLOCK_TOWN;Fairy Fountain;./Resources/MM/Clock_Town/Fairy.png;./Resources/MM/Snowhead/Fairy_Map.jpg;Clock_Town;false;mm
MM_FAIRY_IKANA;Fairy Fountain;./Resources/MM/Ikana_Canyon/Fairy.png;./Resources/MM/Snowhead/Fairy_Map.jpg;Ikana_Canyon;false;mm
MM_PATH_SNOWHEAD_SPRING;Path to Snowhead, Spring;;;None;true;mm
MM_GROTTOS;Grottos;;;None;false;mm
MM_CUTSCENE_MAP;Cutscene Map;;;None;false;mm
MM_PATH_MOUNTAIN_VILLAGE_SPRING;Path to Mountain Village, Spring;;;None;true;mm
MM_POTION_SHOP;Potion Shop;./Resources/MM/Southern_Swamp/Potion_Shop.png;./Resources/MM/Southern_Swamp/Potion_Shop_Map.jpg;Southern_Swamp;false;mm
MM_LAIR_MAJORA;Majora's Lair;./Resources/MM/Moon/Majora.png;./Resources/MM/Moon/Majora_Map.jpg;Moon;false;mm
MM_BENEATH_THE_GRAVEYARD;Beneath the Graveyard;./Resources/MM/Graveyard/Beneath_Graveyard.png;./Resources/MM/Graveyard/Beneath_Graveyard_Map.jpg;Graveyard;false;mm
MM_CURIOSITY_SHOP;Curiosity Shop;./Resources/MM/Clock_Town/Curiosity_Shop.png;./Resources/MM/Clock_Town/Curiosity_Shop_Map.jpg;Clock_Town;false;mm
MM_BENEATH_THE_GRAVEYARD_NIGHT1;Beneath the Graveyard, Night 1;;;None;false;mm
MM_BENEATH_THE_GRAVEYARD_NIGHT2;Beneath the Graveyard, Night 2;;;None;false;mm
MM_RANCH_HOUSE_BARN;Ranch Barn;./Resources/MM/Ranch/Stable.png;./Resources/MM/Ranch/Stable_Map.jpg;Ranch;false;mm
