log_name;friendly_name;type;value;category;affected
games;Games;game;ootmm;standard;
mode;Mode;mode;coop;standard;
teams;Number of teams;uint;1;standard;
songs;Song Notes;boolean;vanilla;standard;
goldSkulltulaTokens;Gold Skulltula - OoT;shuffle;all;standard;
housesSkulltulaTokens;Gold Skulltula - MM;boolean;all;standard;
tingleShuffle;Tingle Maps;boolean;all;standard;
mapCompassShuffle;Map / Compass;boolean;all;standard;
smallKeyShuffleOot;Small Key - OoT;shuffle;all;standard;
smallKeyShuffleMm;Small Key - MM;shuffle;all;standard;
smallKeyShuffleHideout;Small Key - Hideout;boolean;all;standard;
smallKeyShuffleChestGame;Small Key - Chest Game;boolean;all;standard;
bossKeyShuffleOot;Boss Key - OoT;boolean;all;standard;
bossKeyShuffleMm;Boss Key - MM;boolean;all;standard;
silverRupeeShuffle;Silver Rupee;boolean;all;standard;
townFairyShuffle;Town Fairy;boolean;all;standard;
strayFairyChestShuffle;Stray Fairy - Chest;boolean;all;standard;
strayFairyOtherShuffle;Stray Fairy - Other;boolean;all;standard;
ganonBossKey;Boss Key - Ganon;boolean;all;standard;
scrubShuffleOot;Scrub - OoT;boolean;all;standard;
scrubShuffleMm;Scrub - MM;boolean;all;standard;
cowShuffleOot;Cow - OoT;boolean;all;standard;
cowShuffleMm;Cow - MM;boolean;all;standard;
shopShuffleOot;Shop - OoT;boolean;all;standard;
shopShuffleMm;Shop - MM;boolean;all;standard;
owlShuffle;Owl;boolean;all;standard;
shufflePotsOot;Pots - OoT;shuffle;all;standard;
shufflePotsMm;Pots - MM;shuffle;all;standard;
shuffleCratesOot;Crates - OoT;shuffle;all;standard;
shuffleCratesMm;Crates - MM;shuffle;all;standard;
shuffleBarrelsMm;Barrels - MM;shuffle;all;standard;
shuffleHivesOot;Hives - OoT;boolean;all;standard;
shuffleHivesMm;Hives - MM;boolean;all;standard;
shuffleGrassOot;Grass - OoT;shuffle;all;standard;
shuffleRocksOot;Rocks - OoT;boolean;all;standard;
shuffleRocksMm;Rocks - MM;shuffle;all;standard;
shuffleGrassMm;Grass - MM;shuffle;all;standard;
shuffleTFGrassMm;Termina Field Grass;boolean;all;standard;
shuffleTreesOot;Trees - OoT;boolean;all;standard;
shuffleTreesMm;Trees - MM;shuffle;all;standard;
shuffleBushOot;Bush - OoT;boolean;all;standard;
shuffleBushMm;Bush - MM;shuffle;all;standard;
shuffleSoilOot;Soil - OoT;boolean;all;standard;
shuffleSoilMm;Soil - MM;shuffle;all;standard;
shuffleFreeRupeesOot;Freestanding Rupees - OoT;shuffle;all;standard;
shuffleFreeRupeesMm;Freestanding Rupees - MM;shuffle;all;standard;
shuffleFreeHeartsOot;Freestanding Hearts - OoT;shuffle;all;standard;
shuffleFreeHeartsMm;Freestanding Hearts - MM;boolean;all;standard;
shuffleWonderItemsOot;Wonder Items - OoT;shuffle;all;standard;
shuffleWonderItemsMm;Wonder Items - MM;boolean;all;standard;
shuffleSnowballsMm;Snowballs - MM;shuffle;all;standard;
shuffleButterfliesOot;Butterflies - OoT;boolean;all;standard;
shuffleButterfliesMm;Butterflies - MM;boolean;all;standard;
shuffleRedBouldersOot;Red Boulders - OoT;boolean;all;standard;
shuffleRedBouldersMm;Red Boulders - MM;boolean;all;standard;
shuffleFrogsRupeesOot;Frogs Rupees;boolean;all;standard;
shuffleIciclesOot;Icicles - OoT;boolean;all;standard;
shuffleIciclesMm;Icicles - MM;boolean;all;standard;
shuffleRedIceOot;Red Ice;boolean;all;standard;
shuffleOcarinasOot;Ocarinas;boolean;all;standard;
shuffleMasterSword;Master Sword;boolean;all;standard;
shuffleGerudoCard;Gerudo Card;boolean;all;standard;
shuffleMaskTrades;Mask Trades;boolean;all;standard;
shuffleMerchantsOot;Merchants - OoT;boolean;all;standard;
shuffleMerchantsMm;Merchants - MM;boolean;all;standard;
pondFishShuffle;Pond Fish;boolean;all;standard;
divingGameRupeeShuffle;Diving Game Rupees;boolean;all;standard;
fairyFountainFairyShuffleOot;Fairy Fountain - OoT;boolean;all;standard;
fairyFountainFairyShuffleMm;Fairy Fountain - MM;boolean;all;standard;
fairySpotShuffleOot;Fairy Spot;boolean;all;standard;
eggShuffle;Egg Content;boolean;all;standard;
skipZelda;Skip Zelda;boolean;vanilla;standard;
restoreBrokenActors;Restore Broken Actors;boolean;all;standard;
shuffleLotteryMm;Lottery Prizes;boolean;all;standard;
crossWarpOot;Cross-Games OoT Warp Song;boolean;vanilla;standard;
crossWarpMm;Cross-Games MM Song of Soaring;boolean;vanilla;standard;
progressiveShieldsOot;Progressive Shields - OoT;boolean;vanilla;progressive;OOT_PROGRESSIVE_SHIELD_DEKU, OOT_PROGRESSIVE_SHIELD_HYLIAN
progressiveSwordsOot;Progressive Swords - OoT;boolean;vanilla;progressive;OOT_SWORD_KOKIRI, OOT_SWORD_MASTER, OOT_SWORD_KNIFE, OOT_SWORD_GORON, OOT_SWORD_BIGGORON, OOT_SWORD_RAZOR, OOT_SWORD_GILDED, OOT_SWORD
progressiveShieldsMm;Progressive Shields - Mm;boolean;vanilla;progressive;MM_PROGRESSIVE_SHIELD_DEKU, MM_PROGRESSIVE_SHIELD_HERO
progressiveGFS;Progressive Great Fairy Sword;boolean;vanilla;progressive;MM_SWORD_KOKIRI, MM_SWORD_RAZOR, MM_SWORD_GILDED, MM_GREAT_FAIRY_SWORD
progressiveClocks;Progressive Clock;boolean;all;progressive;MM_CLOCK, MM_CLOCK1, MM_CLOCK2, MM_CLOCK3, MM_CLOCK4, MM_CLOCK5, MM_CLOCK6
sticksNutsUpgradesMm;Deku Sticks / Nuts Upgrades - MM;boolean;all;standard;MM_NUT_UPGRADE, MM_NUT_UPGRADE2, MM_STICK_UPGRADE, MM_STICK_UPGRADE2
sunSongMm;Sun's Song - MM;boolean;all;standard;MM_SONG_SUN
fairyOcarinaMm;Fairy Ocarina - MM;boolean;all;standard;MM_OCARINA_FAIRY
shortHookshotMm;Short Hookshot - MM;boolean;all;standard;MM_HOOKSHOT_SHORT
bronzeScale;Bonze Scale;boolean;all;standard;OOT_SCALE_BRONZE, MM_SCALE_BRONZE
childWallets;Child Wallet;boolean;all;standard;OOT_WALLET, MM_WALLET
colossalWallets;Colossal Wallet;boolean;all;standard;OOT_WALLET4, MM_WALLET4
bottomlessWallets;Bottomless Wallet;boolean;all;standard;OOT_WALLET5, MM_WALLET5
skeletonKeyOot;Skeleton Key - OoT;boolean;all;standard;OOT_SKELETON_KEY
skeletonKeyMm;Skeleton Key - MM;boolean;all;standard;MM_SKELETON_KEY
magicalRupee;Magical Rupee;boolean;all;standard;OOT_RUPEE_MAGICAL
transcendentFairy;Transcendent Fairy;boolean;all;standard;MM_TRANSCENDENT_FAIRY
platinumTokenOot;Platinum Token - OoT;boolean;all;standard;OOT_PLATINUM_TOKEN
platinumTokenMm;Platinum Token - MM;boolean;all;standard;MM_PLATINUM_TOKEN
spellFireMm;Din's Fire - MM;boolean;all;standard;MM_SPELL_FIRE
spellWindMm;Farore's Wind - MM;boolean;all;standard;MM_SPELL_WIND
spellLoveMm;Nayru's Love - MM;boolean;all;standard;MM_SPELL_LOVE
bootsIronMm;Iron Boots - MM;boolean;all;standard;MM_BOOTS_IRON
bootsHoverMm;Hover Boots - MM;boolean;all;standard;MM_BOOTS_HOVER
tunicGoronMm;Goron Tunic - MM;boolean;all;standard;MM_TUNIC_GORON
tunicZoraMm;Zora Tunic - MM;boolean;all;standard;MM_TUNIC_ZORA
scalesMm;Scales - MM;boolean;all;standard;MM_SCALE_SILVER, MM_SCALE_GOLDEN
strengthMm;Strength - MM;boolean;all;standard;MM_GORON_BRACELET, MM_SILVER_GAUNTLETS, MM_GOLDEN_GAUNTLETS
hammerMm;Megaton Hammer - MM;boolean;all;standard;MM_HAMMER
spinUpgradeOot;Spin Attack Upgrade - OoT;boolean;all;standard;OOT_SPIN_UPGRADE
