Game;SceneID;FromEntranceID;From;ToEntranceID;To;ElapsedSec
0;0x43;0x2ca;Temple of Time - Master Sword;0x472;Temple of Time -> Temple of Time Entryway;17.8675
0;0x94;0x472;Temple of Time Entryway - Temple of Time;0x25e;Temple of Time Entryway Entrance -> Market;7.43544
0;0x98;0x25e;Market - Temple of Time Entryway Entrance;0x33;Market -> Market Entrance;31.0826
0;0x93;0x33;Market Entrance - Market;0x1fd;Market Entrance -> Hyrule Field;10.0834
0;0x51;0x1fd;Hyrule Field - Market Entrance;0xdb;Hyrule Field -> Kakariko;14.5456
0;0x52;0xdb;Kakariko - Hyrule Field;0x17d;Kakariko -> Hyrule Field;14.3705
0;0x51;0x17d;Hyrule Field - Kakariko;0xea;Hyrule Field -> Zora River;18.2865
0;0x54;0xea;Zora River - Hyrule Field;0x100b;Zora River -> Fairy Fountain Grotto;116.09
0;0x82;0x100b;Fairy Fountain Grotto - Zora River;0x110b;Fairy Fountain Grotto -> Zora River;20.5748
0;0x54;0x110b;Zora River - Fairy Fountain Grotto;0x108;Zora River -> Zora Domain;35.9686
0;0x58;0x108;Zora Domain - Zora River;0x225;Zora Domain -> Zora Fountain;14.3683
0;0x59;0x225;Zora Fountain - Zora Domain;0x28;Zora Fountain -> Inside Jabu-Jabu;11.0203
0;0x2;0x28;Inside Jabu-Jabu - Zora Fountain;0x221;Jabu-Jabu -> Zora Fountain;122.352
0;0x59;0x221;Zora Fountain - Jabu-Jabu;0xfff00;Minuet of Forest -> Minuet of Forest;180.268
0;0x55;0x211;Kokiri Forest  - Link's House;0x0;Kokiri Forest -> Deku Tree;22.2649
0;0x0;0x0;Deku Tree - Kokiri Forest;0xfff00;Minuet of Forest -> Minuet of Forest;24.149
