# OoTMM renewable check locations (packages/logic/src/locations.ts
# RENEWABLE_LOCATIONS) and their vanilla item (data/checks/**/*.xml).
# Generated by tools/gen_renewables.py - do not edit by hand.
# types: cow, fairy, fairy-spot, fish, gossip, gossip-big, scrub, shop
# location	vanilla item (empty = random / nothing)
MM Beneath The Well Cow	MM_MILK
MM Beneath The Well Fairy Fountain Fairy 1	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 2	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 3	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 4	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 5	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 6	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 7	MM_FAIRY
MM Beneath The Well Fairy Fountain Fairy 8	MM_FAIRY
MM Bomb Shop Item 1	MM_BOMBS_10
MM Bomb Shop Item 2	MM_BOMBCHU_10
MM Canyon Gossip Grotto Gossip Big Fairy 1	MM_FAIRY_BIG
MM Canyon Gossip Grotto Gossip Big Fairy 2	MM_FAIRY_BIG
MM Canyon Gossip Grotto Gossip Big Fairy 3	MM_FAIRY_BIG
MM Canyon Gossip Grotto Gossip Big Fairy 4	MM_FAIRY_BIG
MM Canyon Gossip Grotto Gossip Fairy 1	MM_FAIRY
MM Canyon Gossip Grotto Gossip Fairy 2	MM_FAIRY
MM Canyon Gossip Grotto Gossip Fairy 3	MM_FAIRY
MM Canyon Gossip Grotto Gossip Fairy 4	MM_FAIRY
MM Cucco Shack Gossip Big Fairy	MM_FAIRY_BIG
MM Cucco Shack Gossip Fairy	MM_FAIRY
MM Doggy Racetrack Gossip Big Fairy	MM_FAIRY_BIG
MM Doggy Racetrack Gossip Fairy	MM_FAIRY
MM Gorman Track Milk Purchase	MM_MILK
MM Goron Shop Item 1	MM_BOMBS_10
MM Goron Shop Item 2	MM_ARROWS_10
MM Goron Shop Item 3	MM_POTION_RED
MM Great Bay Coast Cow Back	MM_MILK
MM Great Bay Coast Cow Front	MM_MILK
MM Great Bay Coast Gossip Big Fairy	MM_FAIRY_BIG
MM Great Bay Coast Gossip Fairy	MM_FAIRY
MM Ikana Valley Gossip Big Fairy Lower	MM_FAIRY_BIG
MM Ikana Valley Gossip Big Fairy Scrub	MM_FAIRY_BIG
MM Ikana Valley Gossip Big Fairy Upper	MM_FAIRY_BIG
MM Ikana Valley Gossip Fairy Lower	MM_FAIRY
MM Ikana Valley Gossip Fairy Scrub	MM_FAIRY
MM Ikana Valley Gossip Fairy Upper	MM_FAIRY
MM Ikana Valley Scrub Shop	MM_POTION_BLUE
MM Milk Bar Purchase Chateau	MM_CHATEAU
MM Milk Bar Purchase Milk	MM_MILK
MM Milk Road Gossip Big Fairy	MM_FAIRY_BIG
MM Milk Road Gossip Fairy	MM_FAIRY
MM Moon Trial Deku Gossip Big Fairy Back	MM_FAIRY_BIG
MM Moon Trial Deku Gossip Big Fairy Front-Left	MM_FAIRY_BIG
MM Moon Trial Deku Gossip Big Fairy Front-Right	MM_FAIRY_BIG
MM Moon Trial Deku Gossip Big Fairy Mid-Left	MM_FAIRY_BIG
MM Moon Trial Deku Gossip Big Fairy Mid-Right	MM_FAIRY_BIG
MM Moon Trial Deku Gossip Fairy Back	MM_FAIRY
MM Moon Trial Deku Gossip Fairy Front-Left	MM_FAIRY
MM Moon Trial Deku Gossip Fairy Front-Right	MM_FAIRY
MM Moon Trial Deku Gossip Fairy Mid-Left	MM_FAIRY
MM Moon Trial Deku Gossip Fairy Mid-Right	MM_FAIRY
MM Moon Trial Goron Gossip Big Fairy By Heart Piece	MM_FAIRY_BIG
MM Moon Trial Goron Gossip Big Fairy Center Left	MM_FAIRY_BIG
MM Moon Trial Goron Gossip Big Fairy Center Right	MM_FAIRY_BIG
MM Moon Trial Goron Gossip Big Fairy West Left	MM_FAIRY_BIG
MM Moon Trial Goron Gossip Big Fairy West Right	MM_FAIRY_BIG
MM Moon Trial Goron Gossip Fairy By Heart Piece	MM_FAIRY
MM Moon Trial Goron Gossip Fairy Center Left	MM_FAIRY
MM Moon Trial Goron Gossip Fairy Center Right	MM_FAIRY
MM Moon Trial Goron Gossip Fairy West Left	MM_FAIRY
MM Moon Trial Goron Gossip Fairy West Right	MM_FAIRY
MM Moon Trial Link Gossip Big Fairy 1	MM_FAIRY_BIG
MM Moon Trial Link Gossip Big Fairy 2	MM_FAIRY_BIG
MM Moon Trial Link Gossip Big Fairy Last	MM_FAIRY_BIG
MM Moon Trial Link Gossip Big Fairy Left	MM_FAIRY_BIG
MM Moon Trial Link Gossip Big Fairy Right	MM_FAIRY_BIG
MM Moon Trial Link Gossip Fairy 1	MM_FAIRY
MM Moon Trial Link Gossip Fairy 2	MM_FAIRY
MM Moon Trial Link Gossip Fairy Last	MM_FAIRY
MM Moon Trial Link Gossip Fairy Left	MM_FAIRY
MM Moon Trial Link Gossip Fairy Right	MM_FAIRY
MM Moon Trial Zora Gossip Big Fairy Inner Right	MM_FAIRY_BIG
MM Moon Trial Zora Gossip Big Fairy Middle Left	MM_FAIRY_BIG
MM Moon Trial Zora Gossip Big Fairy Middle Right	MM_FAIRY_BIG
MM Moon Trial Zora Gossip Big Fairy Outer Left	MM_FAIRY_BIG
MM Moon Trial Zora Gossip Big Fairy Outer Right	MM_FAIRY_BIG
MM Moon Trial Zora Gossip Fairy Inner Right	MM_FAIRY
MM Moon Trial Zora Gossip Fairy Middle Left	MM_FAIRY
MM Moon Trial Zora Gossip Fairy Middle Right	MM_FAIRY
MM Moon Trial Zora Gossip Fairy Outer Left	MM_FAIRY
MM Moon Trial Zora Gossip Fairy Outer Right	MM_FAIRY
MM Mountain Gossip Grotto Gossip Big Fairy 1	MM_FAIRY_BIG
MM Mountain Gossip Grotto Gossip Big Fairy 2	MM_FAIRY_BIG
MM Mountain Gossip Grotto Gossip Big Fairy 3	MM_FAIRY_BIG
MM Mountain Gossip Grotto Gossip Big Fairy 4	MM_FAIRY_BIG
MM Mountain Gossip Grotto Gossip Fairy 1	MM_FAIRY
MM Mountain Gossip Grotto Gossip Fairy 2	MM_FAIRY
MM Mountain Gossip Grotto Gossip Fairy 3	MM_FAIRY
MM Mountain Gossip Grotto Gossip Fairy 4	MM_FAIRY
MM Mountain Village Gossip Outside Big Fairy	MM_FAIRY_BIG
MM Mountain Village Gossip Outside Fairy	MM_FAIRY
MM Mountain Village Gossip Tunnel Big Fairy	MM_FAIRY_BIG
MM Mountain Village Gossip Tunnel Fairy	MM_FAIRY
MM Ocean Gossip Grotto Gossip Big Fairy 1	MM_FAIRY_BIG
MM Ocean Gossip Grotto Gossip Big Fairy 2	MM_FAIRY_BIG
MM Ocean Gossip Grotto Gossip Big Fairy 3	MM_FAIRY_BIG
MM Ocean Gossip Grotto Gossip Big Fairy 4	MM_FAIRY_BIG
