OOT_LENS	Fewer Lens Requirements (OoT)
OOT_TUNICS	Fewer Tunic Requirements (OoT)
OOT_HIDDEN_GROTTOS	Hidden Grottos (OoT) without Stone of Agony
MM_HIDDEN_GROTTOS	Hidden Grottos (MM) without Stone of Agony
OOT_MIDO_SKIP	Backflip Over Mido
OOT_MAN_ON_ROOF	Man on Roof with Nothing
OOT_BLIND_WASTELAND	Haunted Wasteland Lensless
OOT_DEKU_SKIP	Deku Tree B1 Skip
OOT_DC_JUMP	Dodongo's Cavern Upper Adult Jump
OOT_FOREST_HOOK	Forest Temple Garden Vines with Hookshot
OOT_HAMMER_WALLS	Hammer Through Walls
OOT_VOLCANO_HOVERS	Volcano Item with Hover Boots
OOT_NIGHT_GS	Nighttime Gold Skulltulas without Sun's Song
OOT_DOMAIN_CUCCO	Enter Child Zora's Domain with Cucco
OOT_DOMAIN_HOVER	Enter Zora's Domain using Hover Boots
OOT_WATER_LONGSHOT	Drain Water Temple using Longshot
OOT_SAND_RIVER_NOTHING	Cross the River of Sand with Nothing
OOT_SHADOW_FIRE_ARROW	Enter Shadow Temple using Fire Arrows
OOT_KZ_SKIP	Skip King Zora as Adult
OOT_LOST_WOODS_ADULT_GS	Lost Woods Adult GS without Magic Beans
OOT_WINDMILL_HP_NOTHING	Windmill HP as Adult with Nothing
OOT_LAB_DIVE_NO_GOLD_SCALE	Laboratory Dive without Golden Scale
OOT_LAB_WALL_GS	Laboratory Wall GS with Jump Slash
OOT_PASS_COLLISION	Pass through Visible One-Way Collisions
OOT_DMT_RED_ROCK_GS	DMT Red Rock Skulls without Hammer
OOT_DEAD_HAND_STICKS	Child Dead Hand without Kokiri Sword
OOT_BFA_MUDWALLS	Break Mud Walls with Blue Fire Arrows
OOT_JABU_BOSS_HOVER	Access Jabu-Jabu Pre-Boss using Hover Boots
OOT_SPIRIT_CHILD_HOVER	Access Adult Spirit as Child using Hover Boots
OOT_VALLEY_GATE_HOVER	Reach Gerudo Fortress as Child using Hover Boots
OOT_MQ_ICE_SCARE_NOTHING	MQ Ice Cavern GS without Scarecrow or Hover Boots
OOT_MQ_ICE_SCARE_HOVER	MQ Ice Cavern GS using only Hover Boots
